"Time","OEE","Availability","Performance","Quality","Parts Good","Parts Bad","Parts Total","Time Up","Time Down","Time Total"
"17/03/2023, 14:26:00",,100%,0%,,0,0,0,2853,0,2853
"17/03/2023, 14:25:00",,33.3%,0%,,0,0,0,1999,4002,6001
"17/03/2023, 14:23:00",16.8%,62.2%,40.5%,66.7%,2,1,3,22999,14003,37002
"17/03/2023, 14:22:00",27.6%,81.5%,33.9%,100%,4,0,4,48060,10940,59000
"17/03/2023, 14:21:00",10.9%,64.4%,25.4%,66.7%,2,1,3,37999,21000,58999
"17/03/2023, 14:18:00",24.7%,69.0%,35.7%,100%,3,0,3,28996,13004,42000
"17/03/2023, 14:17:00",4.31%,49.1%,26.3%,33.3%,1,2,3,27997,29003,57000
"17/03/2023, 14:16:00",17.7%,72.1%,32.8%,75%,3,1,4,44002,16998,61000
"17/03/2023, 14:15:00",,56.3%,0%,,0,0,0,9001,6997,15998
"17/03/2023, 14:13:00",20.1%,72.2%,27.8%,100%,2,0,2,26002,9998,36000
"17/03/2023, 14:12:00",12.5%,51.6%,32.3%,75%,3,1,4,32003,29999,62002
"17/03/2023, 14:11:00",11.1%,66.7%,25.0%,66.7%,2,1,3,40002,19997,59999
"17/03/2023, 14:10:00",9.44%,56.7%,16.7%,100%,1,0,1,16997,13003,30000
"17/03/2023, 14:07:00",36.1%,89.2%,40.5%,100%,3,0,3,33007,4001,37008
"17/03/2023, 14:06:00",11.3%,68.9%,24.6%,66.7%,2,1,3,41999,18998,60997
"17/03/2023, 14:05:00",20.1%,59.3%,33.9%,100%,4,0,4,35000,24000,59000
"17/03/2023, 14:04:00",,52.7%,0%,,0,0,0,8954,8046,17000
"17/03/2023, 14:01:00",11.8%,54.4%,32.6%,66.7%,2,1,3,25040,20961,46001
"17/03/2023, 14:00:00",10.6%,62.7%,25.4%,66.7%,2,1,3,36995,21999,58994
"17/03/2023, 13:59:00",17.9%,74.2%,32.3%,75%,3,1,4,46006,16000,62006
"17/03/2023, 13:58:00",,0%,0%,,0,0,0,0,3000,3000
"17/03/2023, 13:56:00",250%,100%,250%,100%,1,0,1,2001,0,2001
"17/03/2023, 13:55:00",23.6%,72.1%,32.8%,100%,4,0,4,43995,17002,60997
"17/03/2023, 13:54:00",4.17%,49.1%,25.4%,33.3%,1,2,3,28999,30003,59002
"17/03/2023, 13:53:00",5.21%,50.0%,20.8%,50%,1,1,2,24001,23999,48000
"17/03/2023, 13:50:00",22.8%,72.9%,31.3%,100%,3,0,3,34997,13002,47999
"17/03/2023, 13:49:00",24.4%,73.3%,33.3%,100%,4,0,4,44003,15998,60001
"17/03/2023, 13:48:00",8.32%,51.6%,24.2%,66.7%,2,1,3,31997,30002,61999
"17/03/2023, 13:47:00",,66.7%,0%,,0,0,0,6000,3000,9000
"17/03/2023, 13:45:00",55.6%,100%,55.6%,100%,1,0,1,9000,0,9000
"17/03/2023, 13:44:00",4.17%,50.0%,25.0%,33.3%,1,2,3,29993,30005,59998
"17/03/2023, 13:43:00",15.8%,63.3%,33.3%,75%,3,1,4,37996,22006,60002
"17/03/2023, 13:42:00",0%,50.0%,20%,0%,0,2,2,25003,24997,50000
"17/03/2023, 13:40:00",250%,100%,250%,100%,1,0,1,2000,0,2000
"17/03/2023, 13:39:00",11.1%,66.7%,25.0%,66.7%,2,1,3,40002,19999,60001
"17/03/2023, 13:38:00",9.68%,59.0%,24.6%,66.7%,2,1,3,36003,24996,60999
"17/03/2023, 13:37:00",4.31%,50.0%,25.9%,33.3%,1,2,3,28999,29002,58001
"17/03/2023, 13:36:00",,42.9%,0%,,0,0,0,2999,3998,6997
"17/03/2023, 13:34:00",12.2%,58.3%,20.8%,100%,1,0,1,13996,10003,23999
"17/03/2023, 13:33:00",19.0%,74.6%,33.9%,75%,3,1,4,44000,15000,59000
"17/03/2023, 13:32:00",24.1%,71.2%,33.9%,100%,4,0,4,42017,16981,58998
"17/03/2023, 13:31:00",8.88%,46.2%,19.2%,100%,1,0,1,12001,13994,25995
"17/03/2023, 13:29:00",,,,,0,0,0,0,0,0
"17/03/2023, 13:28:00",25.0%,77.4%,32.3%,100%,4,0,4,48002,14001,62003
"17/03/2023, 13:27:00",25.0%,75.0%,33.3%,100%,4,0,4,44999,15001,60000
"17/03/2023, 13:26:00",15.9%,66.6%,23.8%,100%,2,0,2,27992,14007,41999
"17/03/2023, 13:24:00",15.6%,46.7%,33.3%,100%,1,0,1,7002,7999,15001
"17/03/2023, 13:23:00",12.2%,70.7%,25.9%,66.7%,2,1,3,40997,17000,57997
"17/03/2023, 13:22:00",14.9%,60.6%,32.8%,75%,3,1,4,36951,24051,61002
"17/03/2023, 13:21:00",20.1%,76.3%,26.3%,100%,2,0,2,28995,9003,37998
"17/03/2023, 13:19:00",100%,100%,100%,100%,1,0,1,4998,0,4998
"17/03/2023, 13:18:00",10.7%,65.4%,24.6%,66.7%,2,1,3,39924,21077,61001
"17/03/2023, 13:17:00",4.31%,50.0%,25.9%,33.3%,1,2,3,28998,29000,57998
"17/03/2023, 13:16:00",10.6%,63.3%,25.0%,66.7%,2,1,3,38001,21998,59999
"17/03/2023, 13:15:00",,0%,0%,,0,0,0,0,2995,2995
"17/03/2023, 13:13:00",62.3%,49.8%,125%,100%,1,0,1,1993,2006,3999
"17/03/2023, 13:12:00",19.8%,78.0%,25.4%,100%,3,0,3,45998,13003,59001
"17/03/2023, 13:11:00",14.9%,60.7%,32.8%,75%,3,1,4,37004,23997,61001
"17/03/2023, 13:10:00",19.7%,76.9%,25.6%,100%,2,0,2,29998,9001,38999
"17/03/2023, 13:08:00",0%,50.0%,35.7%,0%,0,1,1,6999,7000,13999
"17/03/2023, 13:07:00",15.8%,63.3%,33.3%,75%,3,1,4,38004,21996,60000
"17/03/2023, 13:06:00",4.17%,49.2%,25.4%,33.3%,1,2,3,29045,29957,59002
"17/03/2023, 13:05:00",6.60%,66.0%,20.0%,50%,1,1,2,33003,16995,49998
"17/03/2023, 13:02:00",4.92%,56.1%,26.3%,33.3%,1,2,3,31994,25000,56994
"17/03/2023, 13:01:00",15.8%,63.3%,33.3%,75%,3,1,4,37993,21996,59989
"17/03/2023, 13:00:00",4.17%,50.0%,16.7%,50%,1,1,2,30004,30011,60015
"17/03/2023, 12:59:00",25.4%,81.2%,31.2%,100%,1,0,1,12999,3002,16001
"17/03/2023, 12:57:00",22.9%,71.0%,32.3%,100%,2,0,2,22000,9000,31000
"17/03/2023, 12:56:00",8.33%,50.0%,25.0%,66.7%,2,1,3,29998,30003,60001
"17/03/2023, 12:55:00",22.0%,63.8%,34.5%,100%,4,0,4,37006,20992,57998
"17/03/2023, 12:54:00",8.72%,57.6%,15.2%,100%,1,0,1,18997,14005,33002
"17/03/2023, 12:52:00",0%,41.7%,41.7%,0%,0,1,1,4997,7000,11997
"17/03/2023, 12:51:00",7.78%,46.7%,25.0%,66.7%,2,1,3,28002,32000,60002
"17/03/2023, 12:50:00",8.91%,52.6%,33.9%,50%,2,2,4,31004,27995,58999
"17/03/2023, 12:49:00",5.43%,51.1%,21.3%,50%,1,1,2,24002,22997,46999
"17/03/2023, 12:46:00",15.6%,50.0%,31.3%,100%,1,0,1,7996,8001,15997
"17/03/2023, 12:45:00",14.7%,57.7%,33.9%,75%,3,1,4,34060,24940,59000
"17/03/2023, 12:44:00",4.03%,49.2%,24.6%,33.3%,1,2,3,30011,30991,61002
"17/03/2023, 12:43:00",18.5%,71.9%,25.7%,100%,2,0,2,27996,10947,38943
"17/03/2023, 12:40:00",0%,45.0%,25.0%,0%,0,1,1,8998,11001,19999
"17/03/2023, 12:39:00",27.0%,79.7%,33.9%,100%,4,0,4,46999,12002,59001
"17/03/2023, 12:38:00",24.7%,72.9%,33.9%,100%,4,0,4,43000,15997,58997
"17/03/2023, 12:37:00",10.7%,61.9%,17.2%,100%,1,0,1,17938,11064,29002
"17/03/2023, 12:35:00",13.9%,52.6%,26.3%,100%,1,0,1,10003,9000,19003
"17/03/2023, 12:34:00",8.64%,51.0%,33.9%,50%,2,2,4,30085,28914,58999
"17/03/2023, 12:33:00",19.8%,78.0%,25.4%,100%,3,0,3,46000,13002,59002
"17/03/2023, 12:32:00",5.19%,46.7%,22.2%,50%,1,1,2,21008,23991,44999
"17/03/2023, 12:30:00",,,,,0,0,0,0,0,0
"17/03/2023, 12:29:00",22.4%,69.4%,32.3%,100%,4,0,4,43012,19001,62013
"17/03/2023, 12:28:00",11.7%,66.7%,26.3%,66.7%,2,1,3,38004,18993,56997
"17/03/2023, 12:27:00",17.1%,60.0%,28.6%,100%,2,0,2,20972,14007,34979
"17/03/2023, 12:26:00",5.78%,100%,5.78%,100%,1,0,1,86476,0,86476
"17/03/2023, 12:25:00",16.7%,66.7%,33.3%,75%,3,1,4,40000,20001,60001
"17/03/2023, 12:24:00",,57.0%,0%,,0,0,0,3975,3002,6977
"05/03/2023, 21:46:00",2.88e-8%,0.00289%,0.000997%,100%,2,0,2,28999,1003103974,1003132973
"05/03/2023, 21:45:00",21.2%,78.4%,27.0%,100%,2,0,2,29000,8001,37001
"05/03/2023, 21:43:00",50%,100%,50%,100%,1,0,1,10000,0,10000
"05/03/2023, 21:42:00",14.0%,58.1%,32.3%,75%,3,1,4,36000,26000,62000
"05/03/2023, 21:41:00",4.30%,52.5%,24.6%,33.3%,1,2,3,32002,28997,60999
"05/03/2023, 21:40:00",5.68%,51.1%,22.2%,50%,1,1,2,22999,22002,45001
"05/03/2023, 21:37:00",0%,47.7%,22.7%,0%,0,2,2,21002,22996,43998
"05/03/2023, 21:36:00",27.6%,81.3%,33.9%,100%,4,0,4,47988,11012,59000
"05/03/2023, 21:35:00",13.3%,54.1%,32.8%,75%,3,1,4,33003,28000,61003
"05/03/2023, 21:34:00",,50.0%,0%,,0,0,0,6998,7000,13998
"05/03/2023, 21:31:00",16.9%,65.5%,34.5%,75%,3,1,4,37988,20015,58003
"05/03/2023, 21:30:00",3.76%,45.9%,24.6%,33.3%,1,2,3,28000,32998,60998
"05/03/2023, 21:29:00",21.1%,69.7%,30.3%,100%,2,0,2,22981,9995,32976
"04/03/2023, 14:21:00",0.00892%,100.0%,0.00892%,100%,2,0,2,112092953,11002,112103955
"04/03/2023, 14:20:00",15.8%,64.1%,24.6%,100%,3,0,3,39074,21925,60999
"04/03/2023, 14:19:00",,78.6%,0%,,0,0,0,11002,2998,14000
"04/03/2023, 14:17:00",7.27%,55.3%,26.3%,50%,1,1,2,20998,17005,38003
"04/03/2023, 14:16:00",13.8%,54.2%,33.9%,75%,3,1,4,31999,26999,58998
"04/03/2023, 14:15:00",14.4%,60.4%,23.8%,100%,3,0,3,38050,24952,63002
"04/03/2023, 14:14:00",9.51%,64.7%,14.7%,100%,1,0,1,21995,12004,33999
"04/03/2023, 14:12:00",0%,52.7%,26.3%,0%,0,1,1,9999,8992,18991
"04/03/2023, 14:11:00",25.3%,77.0%,41.0%,80%,4,1,5,47001,14008,61009
"04/03/2023, 14:10:00",15.0%,59.9%,25.0%,100%,3,0,3,35966,24033,59999
"04/03/2023, 14:09:00",13.3%,69.2%,19.2%,100%,1,0,1,17998,8001,25999
"04/03/2023, 14:07:00",45.5%,100%,45.5%,100%,1,0,1,11000,0,11000
"04/03/2023, 14:06:00",9.17%,55.0%,25.0%,66.7%,2,1,3,32998,27001,59999
"04/03/2023, 14:05:00",20.0%,60.0%,33.3%,100%,4,0,4,36002,23997,59999
"04/03/2023, 14:04:00",,74.7%,0%,,0,0,0,8951,3038,11989

